Artist,Song,Spins
The Ghost Inside,Wash It Away,3
The Pretty Reckless,Oh My God,3
The Pretty Reckless,Take Me Down,3
The Veer Union,Youth Of Yesterday,3
Three Days Grace,I Am The Weapon,3
Three Days Grace,So Called Life,3
Three Days Grace,World So Cold,3
Turnstile,Holiday,3
Uncured,Detonate,3
Void,Silent Onslaught,3
Volbeat,Black Rose,3
Volbeat,Leviathan,3
Volbeat,The Hangman's Body Count,3
Volbeat,Wait A Minute My Girl,3
Above Snakes,81 (Thallium),2
Ad Infinitum,Outer Space,2
Alien Ant Farm,Storms Over,2
All That Remains,Let You Go,2
All That Remains,The Waiting One,2
All That Remains,Two Weeks,2
Another Day Dawns,Bitter,2
Any Given Sin,Another Life,2
Any Given Sin,Calm Before the Storm,2
Arch Enemy,Paper Tiger,2
Architects,Animals,2
Architects,Dead Butterflies,2
Architects,Seeing Red,2
As December Falls,Therapy,2
Asking Alexandria,Dark Void,2
Asking Alexandria,Here I Am,2
Asking Alexandria,I Won't Give In,2
Atreyu,Gone,2
Attack Attack!,Out Of Time,2
Avatar,The Dirt I'm Buried In,2
Avatar,The King Wants You,2
Avenged Sevenfold,God Damn,2
Avenged Sevenfold,Mattel,2
Avenged Sevenfold,The Stage,2
Avenged Sevenfold,Wish You Were Here,2
Awaken I Am,Relic,2
BABYMETAL x Electric Callboy,RATATATA,2
Better Lovers,At All Times,2
Black Map,Hex (Come Get It),2
Black Out The Sun,Free Falling,2
Black Out The Sun,PRESSURE,2
Black Veil Brides,Goodbye Agony,2
Blind Channel,DEADZONE,2
Bloodywood,Bekhauf,2
Breaking Benjamin,Angels Fall,2
Bring Me the Horizon,DiE4u,2
Bring Me The Horizon,Kool-Aid,2
Bring Me The Horizon,Throne,2
Broken Side,Final Notice,2
Bullet For My Valentine,Rainbow Veins,2
Bullet For My Valentine,You Want a Battle? (Here's a War),2
Capital Theatre,Taste the Flame,2
Caskets,By The Sound,2
Caskets,More Than Misery,2
Coheed and Cambria,Someone Who Can,2
Coldwards,Antidote,2
Coldwards,Last of Me,2
Corey Taylor,Beyond,2
Corey Taylor,We Are The Rest,2
Crooked Ways,A Moment to Borrow,2
Cultus Black,House Of Straw,2
Dark Remedy,Guilty As Charged,2
Daughtry,Artificial,2
Daughtry,Separate Ways (Worlds Apart),2
Dead Poet Society,HURT,2
Dead Sara,Weatherman,2
Deftones,Minerva,2
Deftones,You've Seen the Butcher,2
Devour the Day,Respect,2
Disturbed,Bad Man,2
Disturbed,Don't Tell Me,2
Disturbed,The Light,2
Disturbed,The Sound Of Silence,2
Disturbed,The Vengeful One,2
Dopestick,Take Me,2
Dorothy,Raise Hell,2
Dropout Kings,Lights Out,2
Eidola,The Faustian Spirit,2
Enter Shikari,It Hurts,2
Eric Bass Presents,Mind Control,2
Escape the Fate,You're Insane,2
Etched In Embers,Gemini,2
Eternal Frequency,Running from Ghosts,2
Evanescence,"Afterlife (from the Netflix Series ""Devil May Cry"")",2
Everlit,Game Over,2
Eyes Like Midnight,Bad Love,2
Eyes Like Midnight,Digital Deity,2
Falling In Reverse,Watch The World Burn,2
Filter,Obliteration,2
Filter,Surprise,2
Finger Eleven,Together Right,2
Five Finger Death Punch,Hell To Pay,2
Five Finger Death Punch,Jekyll And Hyde,2
Five Finger Death Punch,Trouble,2
Five Finger Death Punch,Wash It All Away,2
Five Finger Death Punch,Welcome to the Circus,2
Foo Fighters,Rescued,2
Foo Fighters,Under You,2
Fozzy,I Still Burn,2
Fozzy,Lights Go Out,2
Fozzy,Spotlight,2
Framing Hanley,Collide,2
Framing Hanley,Start A Fire,2
From Ashes To New,Hate Me Too,2
From Ashes To New,Lost And Alone,2
Ghost,Call Me Little Sunshine,2
Ghost,Cirice,2
Ghost,From The Pinnacle To The Pit,2
Ghost,Jesus He Knows Me,2
Ghost,The Future Is A Foreign Land,2
Gideon,Too Much Is Never Enough,2
Green Day,Dilemma,2
Green Day,The American Dream Is Killing Me,2
Halestorm,I Get Off,2
Halestorm,I Miss the Misery,2
Halestorm,It's Not You,2
Highly Suspect,Little One,2
Holding Absence,Scissors,2
Horizon Theory,Can't Save Me!,2
Hot Milk,90 Seconds To Midnight,2
I Prevail,Closure,2
In This Moment,The Purge,2
In This Moment,Whore,2
Inimical Drive,Victim,2
Keith Wallen,Headspace Holiday,2
Kings County,So Cold,2
Kittie,Vultures,2
Korn,Get Up,2
Korn,Hater,2
Korn,Narcissistic Cannibal,2
Korn,Spike In My Veins,2
Korn,Word Up!,2
Lacuna Coil,Gravity,2
Landmvrks,Blood Red,2
LEXX,Envy,2
Lines of Loyalty,Hurts To Be Human,2
Lines Of Loyalty,My Addiction,2
Linkin Park,Lost,2
